,Colegiado,Disciplina,Turma,Vagas Ofe,Vagas Pre,Vagas Ofe Cal,Vagas Pre Cal,Pedidos,Primeiro Alocado,Último Alocado,Etapa
0,208,BIO158,010100,13,13,0,0,30,59,616,1
1,208,BIO158,010200,13,13,0,0,24,54,612,1
2,208,BIO158,010300,13,4,0,0,16,63,71,1
3,208,BIO158,020400,14,4,0,0,13,162,619,1
4,208,BIO158,020500,13,2,0,0,13,53,65,1
5,208,BIO158,020600,14,14,0,0,24,43,624,1
6,208,ENFD22,010100,1,1,0,0,8,49,49,1
7,208,FOF001,010100,12,12,0,0,23,83,581,1
8,208,FOF001,010200,12,4,0,0,12,396,621,1
9,208,FOF001,010300,12,12,0,0,41,168,503,1
10,208,FOF001,010400,12,11,0,0,21,460,580,1
11,208,FOF001,010500,12,1,0,0,10,587,587,1
12,208,FOF002,010700,16,6,10,0,17,59,164,1
13,208,FOF003,010100,10,1,0,0,6,459,459,1
14,208,FOF003,010200,10,9,0,0,17,125,509,1
15,208,FOF003,010300,10,7,0,0,17,164,506,1
16,208,FOF003,010400,10,10,0,0,22,108,429,1
17,208,FOF003,010600,10,5,0,0,8,272,515,1
18,208,FOF004,010100,6,6,0,0,50,145,327,1
19,208,FOF004,010200,6,6,0,0,46,200,339,1
20,208,FOF004,010300,6,6,0,0,63,236,343,1
21,208,FOF004,010400,6,6,0,0,52,192,367,1
22,208,FOF004,010500,6,6,0,0,50,180,361,1
23,208,FOF004,010600,6,6,0,0,42,368,377,1
24,208,FOF004,010700,6,6,0,0,47,300,347,1
25,208,FOF004,010800,8,8,0,0,44,354,382,1
26,208,FOF004,010900,8,8,0,0,61,216,348,1
27,208,FOF004,011000,8,8,0,0,49,312,388,1
28,208,FOF004,011100,8,8,0,0,37,338,412,1
29,208,FOF005,010100,3,1,0,0,1,47,47,1
30,208,FOF007,010000,16,16,0,0,23,38,551,1
31,208,FOF007,020000,14,13,0,0,18,111,578,1
32,208,FOF010,020000,40,6,34,0,8,79,626,1
33,208,FOF015,010100,10,7,0,0,21,257,297,1
34,208,FOF015,010200,10,4,0,0,20,234,299,1
35,208,FOF015,010300,10,6,0,0,25,195,290,1
36,208,FOF015,010400,10,2,0,0,22,243,259,1
37,208,FOF015,010500,10,10,0,0,52,46,214,1
38,208,FOF015,010600,10,10,0,0,47,163,238,1
39,208,FOF016,010100,6,6,0,0,28,29,242,1
40,208,FOF016,010200,6,6,0,0,34,50,244,1
41,208,FOF016,010300,6,6,0,0,29,46,238,1
42,208,FOF016,010400,6,6,0,0,22,217,268,1
43,208,FOF016,010500,6,2,0,0,17,295,321,1
44,208,FOF016,010700,6,6,0,0,21,19,297,1
45,208,FOF016,010800,6,6,0,0,25,12,264,1
46,208,FOF016,010900,6,2,0,0,16,316,436,1
47,208,FOF016,011000,6,1,0,0,15,128,128,1
48,208,FOF016,011100,6,2,0,0,16,256,263,1
49,208,FOF019,000001,12,3,0,0,4,2,39,1
50,208,FOF019,000003,12,1,0,0,3,48,48,1
51,208,FOF020,010100,10,10,0,0,27,89,345,1
52,208,FOF020,010200,10,10,0,0,39,252,325,1
53,208,FOF020,010300,10,10,0,0,31,264,387,1
54,208,FOF020,010400,10,10,0,0,36,117,373,1
55,208,FOF020,010500,10,10,0,0,38,101,383,1
56,208,FOF020,010600,10,10,0,0,35,216,415,1
57,208,FOF020,010700,10,10,0,0,42,88,329,1
58,208,FOF020,010800,10,10,0,0,45,296,361,1
59,208,FOF021,010100,10,10,0,0,47,158,292,1
60,208,FOF021,010200,10,10,0,0,52,83,294,1
61,208,FOF021,010300,10,7,0,0,24,222,381,1
62,208,FOF021,010400,10,8,0,0,24,320,365,1
63,208,FOF021,010500,10,10,0,0,31,288,345,1
64,208,FOF021,010600,10,8,0,0,33,299,431,1
65,208,FOF021,010700,10,3,0,0,27,336,382,1
66,208,FOF022,010100,6,1,0,0,20,313,313,1
67,208,FOF022,010200,6,1,0,0,19,304,304,1
68,208,FOF022,010300,6,6,0,0,26,235,307,1
69,208,FOF022,010400,6,6,0,0,24,159,255,1
70,208,FOF022,010500,6,4,0,0,22,254,267,1
71,208,FOF022,010600,6,4,0,0,25,163,297,1
72,208,FOF022,010700,6,6,0,0,36,144,212,1
73,208,FOF022,010800,6,6,0,0,29,50,249,1
74,208,FOF022,010900,6,6,0,0,27,215,242,1
75,208,FOF022,011000,6,6,0,0,29,224,261,1
76,208,FOF023,010100,10,10,0,0,30,3,199,1
77,208,FOF023,010200,10,10,0,0,27,19,245,1
78,208,FOF023,010300,10,7,0,0,13,200,321,1
79,208,FOF023,010500,10,3,0,0,13,195,262,1
80,208,FOF023,010600,10,2,0,0,12,196,302,1
81,208,FOF024,010100,6,1,0,0,5,199,199,1
82,208,FOF024,010200,6,6,0,0,19,11,25,1
83,208,FOF024,010300,6,6,0,0,15,23,202,1
84,208,FOF024,010400,6,4,0,0,12,45,208,1
85,208,FOF024,010600,6,6,0,0,9,42,245,1
86,208,FOF024,010700,6,5,0,0,11,19,204,1
87,208,FOF029,010000,26,23,22,19,8,403,625,1
88,208,FOF029,030000,26,2,24,0,4,72,463,1
89,208,FOF103,010100,10,10,0,0,48,236,374,1
90,208,FOF103,010200,10,10,0,0,48,117,394,1
91,208,FOF103,010300,10,10,0,0,44,380,438,1
92,208,FOF103,010400,10,10,0,0,38,333,441,1
93,208,FOF103,010500,10,6,0,0,14,169,456,1
94,208,FOF103,010600,10,8,0,0,18,306,515,1
95,208,FOF103,010700,10,2,0,0,11,443,621,1
96,208,FOF104,010100,6,6,0,0,27,50,301,1
97,208,FOF104,010200,8,8,0,0,32,271,368,1
98,208,FOF104,010300,8,4,0,0,15,219,343,1
99,208,FOF104,010400,8,5,0,0,18,83,312,1
100,208,FOF104,010500,8,3,0,0,19,145,311,1
101,208,FOF104,010600,8,2,0,0,15,205,212,1
102,208,FOF104,010700,8,1,0,0,15,320,320,1
103,208,FOF104,010800,6,6,0,0,53,144,290,1
104,208,FOF104,010900,6,6,0,0,45,234,293,1
105,208,FOF104,011000,6,6,0,0,41,299,317,1
106,208,FOF140,010100,6,5,0,0,13,23,199,1
107,208,FOF140,010200,6,1,0,0,17,8,8,1
108,208,FOF140,010300,6,4,0,0,13,41,245,1
109,208,FOF140,010400,6,1,0,0,12,204,204,1
110,208,FOF140,010500,6,6,0,0,13,16,196,1
111,208,FOF140,010600,6,6,0,0,19,3,195,1
112,208,FOF140,010700,6,6,0,0,21,1,15,1
113,208,FOF140,010800,6,6,0,0,11,19,203,1
114,208,FOF141,010200,8,1,0,0,8,260,260,1
115,208,FOF141,010300,8,2,0,0,9,208,256,1
116,208,FOF141,010400,8,1,0,0,5,255,255,1
117,208,FOF141,010500,8,1,0,0,9,244,244,1
118,208,FOF141,010600,8,3,0,0,8,42,237,1
119,208,FOF141,010700,8,1,0,0,7,177,177,1
120,208,FOF142,010000,15,7,0,0,14,47,499,1
121,208,FOF142,020000,15,4,0,0,16,164,506,1
122,208,FOF142,030000,15,13,0,0,22,129,509,1
123,208,FOF142,040000,15,7,0,0,18,280,515,1
124,208,FOF147,010100,15,15,0,0,26,125,635,1
125,208,FOF147,010200,15,6,0,0,22,282,580,1
126,208,FOF147,010300,15,5,0,0,19,496,587,1
127,208,FOF147,010400,10,10,0,0,30,51,513,1
128,208,FOF147,010500,10,10,0,0,36,372,539,1
129,208,FOF147,010600,10,10,0,0,28,436,568,1
130,208,FOF149,010100,10,9,0,0,14,126,547,1
131,208,FOF149,010200,10,3,0,0,12,221,504,1
132,208,FOF149,010300,10,5,0,0,11,350,545,1
133,208,FOF149,010400,10,10,0,0,36,51,495,1
134,208,FOF149,010500,10,10,0,0,25,355,501,1
135,208,FOF149,010600,10,10,0,0,19,475,535,1
136,208,FOF160,010100,10,10,0,0,63,163,337,1
137,208,FOF160,010200,10,10,0,0,84,169,331,1
138,208,FOF160,010300,10,10,0,0,77,117,330,1
139,208,FOF160,010400,10,10,0,0,31,346,454,1
140,208,FOF160,010500,10,8,0,0,33,162,460,1
141,208,FOF160,010600,10,10,0,0,40,321,436,1
142,208,FOF160,010700,10,10,0,0,42,345,419,1
143,208,FOF160,010800,10,10,0,0,40,272,432,1
144,208,FOF161,010100,12,12,0,0,33,89,387,1
145,208,FOF161,010200,12,9,0,0,22,88,435,1
146,208,FOF161,010300,12,12,0,0,25,222,431,1
147,208,FOF161,010500,12,6,0,0,11,216,452,1
148,208,FOF162,010100,5,5,0,0,13,20,201,1
149,208,FOF162,010200,5,1,0,0,10,240,240,1
150,208,FOF162,010300,5,1,0,0,12,262,262,1
151,208,FOF162,010400,5,5,0,0,25,1,163,1
152,208,FOF162,010500,5,5,0,0,28,6,192,1
153,208,FOF162,010600,5,5,0,0,34,5,158,1
154,208,FOF162,010700,5,5,0,0,25,12,194,1
155,208,FOF162,010800,5,3,0,0,11,245,302,1
