Codigo,Disciplina,Turma,Vagas Ofe,Dia,Horario,Docente
ARQ010,PERSPECTIVA,010100,7,SEG,07:00 às 08:50,Marcelo Raimundo Pinheiro da Silva
ARQ010,PERSPECTIVA,010100,7,QUA,07:00 às 08:50,Marcelo Raimundo Pinheiro da Silva
ARQ010,PERSPECTIVA,020200,1,SEG,08:50 às 10:40,Marcelo Raimundo Pinheiro da Silva
ARQ010,PERSPECTIVA,020200,1,QUA,08:50 às 10:40,Marcelo Raimundo Pinheiro da Silva
ARQ010,PERSPECTIVA,030300,1,SEG,10:40 às 12:30,Marcelo Raimundo Pinheiro da Silva
ARQ010,PERSPECTIVA,030300,1,QUA,10:40 às 12:30,Marcelo Raimundo Pinheiro da Silva
ARQ018,INTRODUCAO A ARQUITETURA E URBANISMO,010000,1,TER,07:00 às 08:50,Docente Substituto a Contratar
ARQ018,INTRODUCAO A ARQUITETURA E URBANISMO,010000,1,QUI,07:00 às 08:50,Docente Substituto a Contratar
ARQ018,INTRODUCAO A ARQUITETURA E URBANISMO,020000,1,TER,08:50 às 10:40,Lidia Quieto Viana
ARQ018,INTRODUCAO A ARQUITETURA E URBANISMO,020000,1,QUI,08:50 às 10:40,Lidia Quieto Viana
ARQ018,INTRODUCAO A ARQUITETURA E URBANISMO,030000,3,TER,13:00 às 14:50,Sanane Santos Sampaio
ARQ018,INTRODUCAO A ARQUITETURA E URBANISMO,030000,3,QUI,13:00 às 14:50,Sanane Santos Sampaio
ARQ018,INTRODUCAO A ARQUITETURA E URBANISMO,040000,3,TER,14:50 às 16:40,Juliana de Faria Linhares
ARQ018,INTRODUCAO A ARQUITETURA E URBANISMO,040000,3,QUI,14:50 às 16:40,Juliana de Faria Linhares
ARQ019,MATEMATICA I,010100,30,TER,07:00 às 08:50,Eduardo Parente Prado
ARQ019,MATEMATICA I,010100,30,QUI,07:00 às 08:50,Eduardo Parente Prado
ARQ019,MATEMATICA I,020200,30,TER,13:00 às 14:50,Eduardo Parente Prado
ARQ019,MATEMATICA I,020200,30,QUI,13:00 às 14:50,Eduardo Parente Prado
ARQ020,ESTUDOS SOCIAIS E AMBIENTAIS,010000,30,TER,10:40 às 12:30,Thais Troncon Rosa
ARQ020,ESTUDOS SOCIAIS E AMBIENTAIS,010000,30,QUI,10:40 às 12:30,Thais Troncon Rosa
ARQ020,ESTUDOS SOCIAIS E AMBIENTAIS,020000,30,TER,16:40 às 18:30,Gloria Cecilia dos Santos Figueiredo
ARQ020,ESTUDOS SOCIAIS E AMBIENTAIS,020000,30,QUI,16:40 às 18:30,Gloria Cecilia dos Santos Figueiredo
ARQ021,HISTORIA DA ARQUITETURA E URBANISMO I,010100,33,TER,08:50 às 10:40,Juliana Cardoso Nery
ARQ021,HISTORIA DA ARQUITETURA E URBANISMO I,010100,33,QUI,08:50 às 10:40,Juliana Cardoso Nery
ARQ021,HISTORIA DA ARQUITETURA E URBANISMO I,020200,33,TER,14:50 às 16:40,Rodrigo Espinha Baeta
ARQ021,HISTORIA DA ARQUITETURA E URBANISMO I,020200,33,QUI,14:50 às 16:40,Rodrigo Espinha Baeta
ARQ023,HISTORIA DA ARQUITETURA CONTEMPORANEA,010100,33,TER,07:00 às 08:50,Ana Carolina de Souza Bierrenbach
ARQ023,HISTORIA DA ARQUITETURA CONTEMPORANEA,010100,33,QUI,07:00 às 08:50,Ana Carolina de Souza Bierrenbach
ARQ023,HISTORIA DA ARQUITETURA CONTEMPORANEA,020200,33,TER,13:00 às 14:50,Eduardo Rocha Lima
ARQ023,HISTORIA DA ARQUITETURA CONTEMPORANEA,020200,33,QUI,13:00 às 14:50,Eduardo Rocha Lima
ARQ025,CONFORTO AMBIENTAL I,010000,30,QUA,10:40 às 12:30,Docente Substituto a Contratar
ARQ025,CONFORTO AMBIENTAL I,020000,30,QUI,13:00 às 14:50,Docente Substituto a Contratar
ARQ026,INFORMATICA APLICADA A ARQUITETURA E URBANISMO I,010100,20,SEG,07:00 às 08:50,Fabiano Mikalauskas de Souza Nogueira
ARQ026,INFORMATICA APLICADA A ARQUITETURA E URBANISMO I,010100,20,QUA,07:00 às 08:50,Fabiano Mikalauskas de Souza Nogueira
ARQ026,INFORMATICA APLICADA A ARQUITETURA E URBANISMO I,020200,30,SEG,14:50 às 16:40,Fabiano Mikalauskas de Souza Nogueira
ARQ026,INFORMATICA APLICADA A ARQUITETURA E URBANISMO I,020200,30,QUA,14:50 às 16:40,Fabiano Mikalauskas de Souza Nogueira
ARQ026,INFORMATICA APLICADA A ARQUITETURA E URBANISMO I,030300,30,TER,07:00 às 08:50,Andrea Verri Bastian
ARQ026,INFORMATICA APLICADA A ARQUITETURA E URBANISMO I,030300,30,QUI,07:00 às 08:50,Andrea Verri Bastian
ARQ027,HISTORIA DA ARQUITETURA E URBANISMO II,010100,30,TER,08:50 às 10:40,Jose Carlos Huapaya Espinoza
ARQ027,HISTORIA DA ARQUITETURA E URBANISMO II,010100,30,QUI,08:50 às 10:40,Jose Carlos Huapaya Espinoza
