,Colegiado,Disciplina,Turma,Vagas Ofe,Vagas Pre,Vagas Ofe Cal,Vagas Pre Cal,Pedidos,Primeiro Alocado,Último Alocado,Etapa
0,218,IMS002,010500,12,11,0,0,15,50,140,1
1,218,IMS002,010600,12,12,0,0,18,80,110,1
2,218,IMS003,020000,35,20,0,0,21,22,153,1
3,218,IMS005,020300,12,12,0,0,19,81,121,1
4,218,IMS005,020400,12,4,0,0,4,88,146,1
5,218,IMS006,030000,42,25,14,0,27,104,180,1
6,218,IMS007,010000,5,2,0,0,4,35,137,1
7,218,IMS014,020300,18,11,7,0,16,22,32,1
8,218,IMS014,020400,18,4,7,0,13,33,146,1
9,218,IMS021,020300,15,15,0,0,21,24,121,1
10,218,IMS021,020400,15,4,0,0,6,88,146,1
11,218,IMS112,030500,14,14,0,0,21,107,134,1
12,218,IMS112,030600,14,9,0,0,15,112,180,1
13,218,IMS115,010100,10,10,0,0,16,36,48,1
14,218,IMS115,010200,10,2,0,0,2,54,56,1
15,218,IMS115,010300,10,3,0,0,5,43,61,1
16,218,IMS158,010000,5,2,0,0,4,26,170,1
17,218,IMS167,010100,7,7,0,0,7,21,176,1
18,218,IMS167,010200,8,1,0,0,1,77,77,1
19,218,IMSB75,010000,5,1,0,0,1,170,170,1
20,218,IMSB78,010100,25,25,0,0,34,34,127,1
21,218,IMSC40,010000,5,5,0,0,13,35,70,1
22,218,IMSC80,010000,30,17,0,0,17,39,178,1
23,218,IMSE72,001000,5,2,0,0,3,35,72,1
24,218,IMSE76,010000,30,16,14,0,17,22,178,1
25,218,IMSE77,010000,35,16,14,0,16,22,143,1
26,218,IMSE78,010000,45,39,0,0,41,21,152,1
27,218,IMSE80,010000,40,19,14,0,20,22,180,1
28,218,IMSE81,010100,7,7,0,0,20,84,117,1
29,218,IMSE81,010200,7,7,0,0,18,109,125,1
30,218,IMSE81,010300,7,5,0,0,6,25,134,1
31,218,IMSE82,010100,14,14,0,0,25,107,129,1
32,218,IMSE82,010200,14,9,0,0,10,104,178,1
33,218,IMSE83,010000,52,46,0,0,47,21,170,1
34,218,IMSE84,010100,12,12,0,0,18,54,104,1
35,218,IMSE84,010200,12,10,0,0,13,21,138,1
36,218,IMSE85,010000,24,20,0,0,24,21,140,1
37,218,IMSE91,010100,11,11,0,0,12,26,75,1
38,218,IMSE91,010200,11,11,0,0,17,21,152,1
39,218,IMSE92,010100,11,11,0,0,23,51,70,1
40,218,IMSE92,010200,11,1,0,0,3,73,73,1
41,218,IMSE93,010100,5,5,0,0,7,57,74,1
42,218,IMSE93,010200,5,4,0,0,7,64,135,1
43,218,IMSE93,010300,6,6,0,0,7,51,79,1
44,218,IMSE93,010400,6,4,0,0,5,62,77,1
45,218,IMSE94,010100,11,11,0,0,17,63,152,1
46,218,IMSE94,010200,11,9,0,0,10,51,75,1
47,218,IMSE95,000001,6,6,0,0,13,52,66,1
48,218,IMSE95,000002,6,5,0,0,7,43,136,1
49,218,IMSE95,000003,5,4,0,0,8,56,87,1
50,218,IMSE95,000004,5,2,0,0,2,51,62,1
51,218,IMSE99,010000,24,19,0,0,20,19,77,1
52,218,IMSF01,001000,10,10,0,0,19,36,48,1
53,218,IMSF01,002000,10,1,0,0,3,43,43,1
54,218,IMSF05,000004,5,1,0,0,1,1,1,1
55,218,IMSF08,010000,25,11,0,0,13,28,93,1
56,218,IMSF16,010000,25,10,0,0,11,38,93,1
57,218,IMSF28,001000,23,19,0,0,19,2,60,1
58,218,IMSF29,010000,15,14,0,0,17,21,180,1
