,Unnamed: 0,Codigo,Disciplina,Turma,Vagas Ofe,Dia,Horario,Docente,Inicio,Fim
0,0,ARQ010,PERSPECTIVA,010100,7,SEG,07:00 às 08:50,Marcelo Raimundo Pinheiro da Silva,07:00,08:50
1,1,ARQ010,PERSPECTIVA,010100,7,QUA,07:00 às 08:50,Marcelo Raimundo Pinheiro da Silva,07:00,08:50
2,2,ARQ010,PERSPECTIVA,020200,1,SEG,08:50 às 10:40,Marcelo Raimundo Pinheiro da Silva,08:50,10:40
3,3,ARQ010,PERSPECTIVA,020200,1,QUA,08:50 às 10:40,Marcelo Raimundo Pinheiro da Silva,08:50,10:40
4,4,ARQ010,PERSPECTIVA,030300,1,SEG,10:40 às 12:30,Marcelo Raimundo Pinheiro da Silva,10:40,12:30
5,5,ARQ010,PERSPECTIVA,030300,1,QUA,10:40 às 12:30,Marcelo Raimundo Pinheiro da Silva,10:40,12:30
6,6,ARQ018,INTRODUCAO A ARQUITETURA E URBANISMO,010000,1,TER,07:00 às 08:50,Docente Substituto a Contratar,07:00,08:50
7,7,ARQ018,INTRODUCAO A ARQUITETURA E URBANISMO,010000,1,QUI,07:00 às 08:50,Docente Substituto a Contratar,07:00,08:50
8,8,ARQ018,INTRODUCAO A ARQUITETURA E URBANISMO,020000,1,TER,08:50 às 10:40,Lidia Quieto Viana,08:50,10:40
9,9,ARQ018,INTRODUCAO A ARQUITETURA E URBANISMO,020000,1,QUI,08:50 às 10:40,Lidia Quieto Viana,08:50,10:40
10,10,ARQ018,INTRODUCAO A ARQUITETURA E URBANISMO,030000,3,TER,13:00 às 14:50,Sanane Santos Sampaio,13:00,14:50
11,11,ARQ018,INTRODUCAO A ARQUITETURA E URBANISMO,030000,3,QUI,13:00 às 14:50,Sanane Santos Sampaio,13:00,14:50
12,12,ARQ018,INTRODUCAO A ARQUITETURA E URBANISMO,040000,3,TER,14:50 às 16:40,Juliana de Faria Linhares,14:50,16:40
13,13,ARQ018,INTRODUCAO A ARQUITETURA E URBANISMO,040000,3,QUI,14:50 às 16:40,Juliana de Faria Linhares,14:50,16:40
14,14,ARQ019,MATEMATICA I,010100,30,TER,07:00 às 08:50,Eduardo Parente Prado,07:00,08:50
15,15,ARQ019,MATEMATICA I,010100,30,QUI,07:00 às 08:50,Eduardo Parente Prado,07:00,08:50
16,16,ARQ019,MATEMATICA I,020200,30,TER,13:00 às 14:50,Eduardo Parente Prado,13:00,14:50
17,17,ARQ019,MATEMATICA I,020200,30,QUI,13:00 às 14:50,Eduardo Parente Prado,13:00,14:50
18,18,ARQ020,ESTUDOS SOCIAIS E AMBIENTAIS,010000,30,TER,10:40 às 12:30,Thais Troncon Rosa,10:40,12:30
19,19,ARQ020,ESTUDOS SOCIAIS E AMBIENTAIS,010000,30,QUI,10:40 às 12:30,Thais Troncon Rosa,10:40,12:30
20,20,ARQ020,ESTUDOS SOCIAIS E AMBIENTAIS,020000,30,TER,16:40 às 18:30,Gloria Cecilia dos Santos Figueiredo,16:40,18:30
21,21,ARQ020,ESTUDOS SOCIAIS E AMBIENTAIS,020000,30,QUI,16:40 às 18:30,Gloria Cecilia dos Santos Figueiredo,16:40,18:30
22,22,ARQ021,HISTORIA DA ARQUITETURA E URBANISMO I,010100,33,TER,08:50 às 10:40,Juliana Cardoso Nery,08:50,10:40
23,23,ARQ021,HISTORIA DA ARQUITETURA E URBANISMO I,010100,33,QUI,08:50 às 10:40,Juliana Cardoso Nery,08:50,10:40
24,24,ARQ021,HISTORIA DA ARQUITETURA E URBANISMO I,020200,33,TER,14:50 às 16:40,Rodrigo Espinha Baeta,14:50,16:40
25,25,ARQ021,HISTORIA DA ARQUITETURA E URBANISMO I,020200,33,QUI,14:50 às 16:40,Rodrigo Espinha Baeta,14:50,16:40
26,26,ARQ023,HISTORIA DA ARQUITETURA CONTEMPORANEA,010100,33,TER,07:00 às 08:50,Ana Carolina de Souza Bierrenbach,07:00,08:50
27,27,ARQ023,HISTORIA DA ARQUITETURA CONTEMPORANEA,010100,33,QUI,07:00 às 08:50,Ana Carolina de Souza Bierrenbach,07:00,08:50
28,28,ARQ023,HISTORIA DA ARQUITETURA CONTEMPORANEA,020200,33,TER,13:00 às 14:50,Eduardo Rocha Lima,13:00,14:50
29,29,ARQ023,HISTORIA DA ARQUITETURA CONTEMPORANEA,020200,33,QUI,13:00 às 14:50,Eduardo Rocha Lima,13:00,14:50
30,30,ARQ025,CONFORTO AMBIENTAL I,010000,30,QUA,10:40 às 12:30,Docente Substituto a Contratar,10:40,12:30
31,31,ARQ025,CONFORTO AMBIENTAL I,020000,30,QUI,13:00 às 14:50,Docente Substituto a Contratar,13:00,14:50
32,32,ARQ026,INFORMATICA APLICADA A ARQUITETURA E URBANISMO I,010100,20,SEG,07:00 às 08:50,Fabiano Mikalauskas de Souza Nogueira,07:00,08:50
33,33,ARQ026,INFORMATICA APLICADA A ARQUITETURA E URBANISMO I,010100,20,QUA,07:00 às 08:50,Fabiano Mikalauskas de Souza Nogueira,07:00,08:50
34,34,ARQ026,INFORMATICA APLICADA A ARQUITETURA E URBANISMO I,020200,30,SEG,14:50 às 16:40,Fabiano Mikalauskas de Souza Nogueira,14:50,16:40
35,35,ARQ026,INFORMATICA APLICADA A ARQUITETURA E URBANISMO I,020200,30,QUA,14:50 às 16:40,Fabiano Mikalauskas de Souza Nogueira,14:50,16:40
36,36,ARQ026,INFORMATICA APLICADA A ARQUITETURA E URBANISMO I,030300,30,TER,07:00 às 08:50,Andrea Verri Bastian,07:00,08:50
37,37,ARQ026,INFORMATICA APLICADA A ARQUITETURA E URBANISMO I,030300,30,QUI,07:00 às 08:50,Andrea Verri Bastian,07:00,08:50
38,38,ARQ027,HISTORIA DA ARQUITETURA E URBANISMO II,010100,30,TER,08:50 às 10:40,Jose Carlos Huapaya Espinoza,08:50,10:40
39,39,ARQ027,HISTORIA DA ARQUITETURA E URBANISMO II,010100,30,QUI,08:50 às 10:40,Jose Carlos Huapaya Espinoza,08:50,10:40
40,40,ARQ027,HISTORIA DA ARQUITETURA E URBANISMO II,020200,30,TER,14:50 às 16:40,Ana Carolina de Souza Bierrenbach,14:50,16:40
41,41,ARQ027,HISTORIA DA ARQUITETURA E URBANISMO II,020200,30,QUI,14:50 às 16:40,Ana Carolina de Souza Bierrenbach,14:50,16:40
42,42,ARQ029,HISTORIA DO URBANISMO E DO PLANEJAMENTO URBANO,010000,30,TER,10:40 às 12:30,Elyane Lins Correa,10:40,12:30
43,43,ARQ029,HISTORIA DO URBANISMO E DO PLANEJAMENTO URBANO,010000,30,QUI,10:40 às 12:30,Elyane Lins Correa,10:40,12:30
